Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined
FDZ33,10.195,Low Fat,0.107376743,Snack Foods,147.6076,OUT035,Small,Tier 2,Supermarket Type1,8.174247117,Food
FDP48,7.52,Regular,0.043810028,Baking Goods,181.395,OUT027,Medium,Tier 3,Supermarket Type3,8.706678196,Food
FDW56,7.68,Low Fat,0.118672537,Fruits and Vegetables,192.2162,OUT010,Small,Tier 3,Grocery Store,5.955403078,Food
FDC26,10.195,Low Fat,0.126897925,Canned,110.6886,OUT018,Medium,Tier 3,Supermarket Type2,7.109940409,Food
FDF34,9.3,Regular,0.014076503,Snack Foods,200.0084,OUT018,Medium,Tier 3,Supermarket Type2,7.688680892,Food
FDJ33,8.895,Regular,0.088305478,Snack Foods,123.473,OUT035,Small,Tier 2,Supermarket Type1,7.299172847,Food
FDD04,16,Low Fat,0.090153756,Dairy,143.2154,OUT045,Small,Tier 2,Supermarket Type1,7.257816198,Food
NCJ31,19.2,Non-Edible,0.182501773,Others,239.2196,OUT013,High,Tier 3,Supermarket Type1,8.52959825,Non-Consumable
FDO57,20.75,Low Fat,0.108710162,Snack Foods,161.7578,OUT046,Small,Tier 1,Supermarket Type1,7.968748909,Food
FDM36,11.65,Regular,0.058446424,Baking Goods,172.1422,OUT027,Medium,Tier 3,Supermarket Type3,8.615979214,Food
NCY05,13.5,Non-Edible,0.054990009,Health and Hygiene,35.2874,OUT046,Small,Tier 1,Supermarket Type1,6.609396951,Non-Consumable
FDS44,12.65,Regular,0.15528831,Fruits and Vegetables,241.7538,OUT027,Medium,Tier 3,Supermarket Type3,9.119807646,Food
FDZ39,19.7,Regular,0.018021361,Meat,101.199,OUT035,Small,Tier 2,Supermarket Type1,7.52756911,Food
NCM31,6.095,Non-Edible,0.0816559,Others,143.3154,OUT017,Small,Tier 2,Supermarket Type1,7.950610994,Non-Consumable
DRK11,8.21,Low Fat,0.010755465,Hard Drinks,150.8392,OUT013,High,Tier 3,Supermarket Type1,8.000947573,Drinks
FDO34,17.7,Low Fat,0.050111641,Snack Foods,165.9816,OUT010,Small,Tier 3,Grocery Store,5.128605571,Food
NCL30,18.1,Non-Edible,0.048931174,Household,127.3336,OUT035,Small,Tier 2,Supermarket Type1,7.048822803,Non-Consumable
FDK28,5.695,Low Fat,0.065960909,Frozen Foods,259.2646,OUT017,Small,Tier 2,Supermarket Type1,9.135285478,Food
DRJ39,20.25,Low Fat,0.036319195,Dairy,219.3482,OUT035,Small,Tier 2,Supermarket Type1,8.52498448,Drinks
NCP06,20.7,Non-Edible,0.039055756,Household,152.3366,OUT027,Medium,Tier 3,Supermarket Type3,7.657713891,Non-Consumable
FDE33,19.35,Regular,0.049395242,Fruits and Vegetables,80.3644,OUT027,Medium,Tier 3,Supermarket Type3,7.542502711,Food
FDZ44,8.185,Low Fat,0.038789271,Fruits and Vegetables,115.6808,OUT049,Medium,Tier 1,Supermarket Type1,6.556898803,Food
FDV46,18.2,Low Fat,0.012659235,Snack Foods,140.718,OUT018,Medium,Tier 3,Supermarket Type2,7.885156914,Food
NCO06,19.25,Non-Edible,0.108010006,Household,33.3558,OUT035,Small,Tier 2,Supermarket Type1,6.570983518,Non-Consumable
DRG03,14.5,Low Fat,0.061934991,Dairy,154.4998,OUT013,High,Tier 3,Supermarket Type1,7.434137942,Drinks
FDU37,9.5,Regular,0.104421237,Canned,80.196,OUT013,High,Tier 3,Supermarket Type1,7.677026113,Food
FDI57,19.85,Low Fat,0.053980686,Seafood,196.8768,OUT013,High,Tier 3,Supermarket Type1,7.848933102,Food
FDM45,8.655,Regular,0.088121336,Snack Foods,119.7756,OUT013,High,Tier 3,Supermarket Type1,7.6309394,Food
FDC26,10.195,Low Fat,0.126359196,Canned,109.2886,OUT035,Small,Tier 2,Supermarket Type1,7.196883705,Food
FDU14,17.75,Low Fat,0.034584356,Dairy,248.375,OUT027,Medium,Tier 3,Supermarket Type3,9.233829822,Food
FDB26,14,Regular,0.031267496,Canned,51.464,OUT046,Small,Tier 1,Supermarket Type1,6.541653182,Food
FDC29,8.39,Regular,0.024304264,Frozen Foods,114.0176,OUT018,Medium,Tier 3,Supermarket Type2,7.306349369,Food
FDY58,11.65,Low Fat,0.040144377,Snack Foods,228.9694,OUT017,Small,Tier 2,Supermarket Type1,8.798411307,Food
FDR59,14.5,Regular,0.063851475,Breads,260.4594,OUT035,Small,Tier 2,Supermarket Type1,8.052268737,Food
FDS03,7.825,Low Fat,0.079243005,Meat,65.8826,OUT027,Medium,Tier 3,Supermarket Type3,7.38744002,Food
FDR43,18.2,Low Fat,0.161355122,Fruits and Vegetables,38.319,OUT013,High,Tier 3,Supermarket Type1,6.374861263,Food
FDZ25,15.7,Regular,0.02748331,Canned,169.379,OUT027,Medium,Tier 3,Supermarket Type3,8.631183622,Food
NCN26,10.85,Non-Edible,0.028738058,Household,117.1808,OUT045,Small,Tier 2,Supermarket Type1,6.556898803,Non-Consumable
FDO38,17.25,Low Fat,0.073135768,Canned,77.2986,OUT018,Medium,Tier 3,Supermarket Type2,6.921344328,Food
FDP28,13.65,Regular,0.081096613,Frozen Foods,261.2936,OUT017,Small,Tier 2,Supermarket Type1,8.049721777,Food
FDG31,12.15,Low Fat,0.063430788,Meat,65.4826,OUT010,Small,Tier 3,Grocery Store,5.558102924,Food
FDI45,13.1,Low Fat,0.037549969,Fruits and Vegetables,176.1054,OUT013,High,Tier 3,Supermarket Type1,8.301130561,Food
NCS54,13.6,Non-Edible,0.016726506,Household,176.037,OUT010,Small,Tier 3,Grocery Store,5.868940918,Non-Consumable
FDE17,20.1,Regular,0.054565932,Frozen Foods,152.2366,OUT045,Small,Tier 2,Supermarket Type1,7.791186234,Food
NCG06,16.35,Non-Edible,0.029445361,Household,257.6646,OUT046,Small,Tier 1,Supermarket Type1,7.63158529,Non-Consumable
FDQ57,7.275,Low Fat,0.048932713,Snack Foods,144.476,OUT019,Small,Tier 1,Grocery Store,4.993665451,Food
NCB31,6.235,Non-Edible,0.118651919,Household,263.991,OUT035,Small,Tier 2,Supermarket Type1,8.344946156,Non-Consumable
NCP29,8.42,Non-Edible,0.112728355,Health and Hygiene,65.8168,OUT018,Medium,Tier 3,Supermarket Type2,6.723734359,Non-Consumable
NCX29,10,Non-Edible,0.156094569,Health and Hygiene,144.3102,OUT019,Small,Tier 1,Grocery Store,4.989140596,Non-Consumable
FDU37,9.5,Regular,0.104933928,Canned,78.796,OUT018,Medium,Tier 3,Supermarket Type2,7.08961006,Food
FDM02,12.5,Regular,0.12341737,Canned,86.0198,OUT010,Small,Tier 3,Grocery Store,4.479831428,Food
FDN16,12.6,Regular,0.062700289,Frozen Foods,102.199,OUT046,Small,Tier 1,Supermarket Type1,7.581608013,Food
FDR46,16.85,Low Fat,0.139417654,Snack Foods,147.476,OUT046,Small,Tier 1,Supermarket Type1,7.982935161,Food
FDE50,19.7,Regular,0.01612717,Canned,189.3556,OUT027,Medium,Tier 3,Supermarket Type3,7.720491508,Food
FDL52,6.635,Regular,0.077145553,Frozen Foods,39.8506,OUT010,Small,Tier 3,Grocery Store,4.342521481,Food
FDQ49,20.2,Regular,0.039215075,Breakfast,157.663,OUT013,High,Tier 3,Supermarket Type1,7.692333306,Food
FDI14,14.1,Low Fat,0.089859642,Canned,140.2496,OUT045,Small,Tier 2,Supermarket Type1,7.435317187,Food
FDS16,15.15,Regular,0.066121873,Frozen Foods,145.676,OUT013,High,Tier 3,Supermarket Type1,8.206010462,Food
FDU15,13.65,Regular,0.026643448,Meat,37.9532,OUT049,Medium,Tier 1,Supermarket Type1,6.761430166,Food
NCG43,20.2,Non-Edible,0.073879939,Household,94.0462,OUT027,Medium,Tier 3,Supermarket Type3,7.523980378,Non-Consumable
FDR23,15.85,Low Fat,0.08139146,Breads,177.837,OUT027,Medium,Tier 3,Supermarket Type3,8.756640236,Food
FDS52,8.89,Low Fat,0.005448005,Frozen Foods,102.1016,OUT027,Medium,Tier 3,Supermarket Type3,8.172744911,Food
NCP18,12.15,Non-Edible,0.028714747,Household,151.9708,OUT018,Medium,Tier 3,Supermarket Type2,8.192099746,Non-Consumable
DRF23,4.61,Low Fat,0.122058364,Hard Drinks,172.8396,OUT027,Medium,Tier 3,Supermarket Type3,8.875290427,Drinks
FDO09,13.5,Regular,0.125528734,Snack Foods,262.191,OUT045,Small,Tier 2,Supermarket Type1,8.707779336,Food
FDB40,17.5,Regular,0.007555176,Dairy,145.9102,OUT045,Small,Tier 2,Supermarket Type1,7.690813088,Food
DRK37,5,Low Fat,0.077046505,Soft Drinks,189.453,OUT019,Small,Tier 1,Grocery Store,6.633334223,Drinks
DRN11,7.85,Low Fat,0.162980276,Hard Drinks,145.2444,OUT046,Small,Tier 1,Supermarket Type1,7.281002934,Drinks
FDE22,9.695,Low Fat,0.029632784,Snack Foods,159.692,OUT045,Small,Tier 2,Supermarket Type1,6.866674918,Food
FDF04,17.5,Low Fat,0.013634468,Frozen Foods,256.4304,OUT035,Small,Tier 2,Supermarket Type1,7.500702384,Food
FDE41,9.195,Regular,0.064376263,Frozen Foods,83.1566,OUT017,Small,Tier 2,Supermarket Type1,7.003279799,Food
FDW08,12.1,Low Fat,0.147663025,Fruits and Vegetables,106.028,OUT027,Medium,Tier 3,Supermarket Type3,7.502173241,Food
NCD54,21.1,Non-Edible,0.029003459,Household,143.4786,OUT035,Small,Tier 2,Supermarket Type1,7.746152618,Non-Consumable
FDZ33,10.195,Low Fat,0.107834541,Snack Foods,146.5076,OUT018,Medium,Tier 3,Supermarket Type2,7.193887451,Food
FDO23,17.85,Low Fat,0.146399663,Breads,93.8436,OUT035,Small,Tier 2,Supermarket Type1,7.257816198,Food
FDN34,15.6,Regular,0.04575559,Snack Foods,167.1132,OUT035,Small,Tier 2,Supermarket Type1,7.964129432,Food
FDL39,16.1,Regular,0.063278652,Dairy,182.1318,OUT013,High,Tier 3,Supermarket Type1,7.760728461,Food
FDT28,13.3,Low Fat,0.063664998,Frozen Foods,151.6708,OUT049,Medium,Tier 1,Supermarket Type1,8.272121159,Food
FDH33,12.85,Low Fat,0.122221269,Snack Foods,45.9428,OUT018,Medium,Tier 3,Supermarket Type2,7.15096903,Food
FDA34,11.5,Low Fat,0.014944614,Starchy Foods,171.808,OUT017,Small,Tier 2,Supermarket Type1,8.650598276,Food
FDZ56,16.25,Low Fat,0.025732114,Fruits and Vegetables,166.4474,OUT035,Small,Tier 2,Supermarket Type1,8.592544938,Food
DRH23,14.65,Low Fat,0.171281641,Hard Drinks,54.0614,OUT017,Small,Tier 2,Supermarket Type1,7.057458426,Drinks
NCO18,13.15,Non-Edible,0.024646608,Household,177.4686,OUT035,Small,Tier 2,Supermarket Type1,8.614651354,Non-Consumable
DRG27,8.895,Low Fat,0.124935979,Dairy,42.0138,OUT018,Medium,Tier 3,Supermarket Type2,6.344922422,Drinks
FDM28,15.7,Low Fat,0.075661985,Frozen Foods,181.366,OUT010,Small,Tier 3,Grocery Store,5.197203377,Food
NCY41,16.75,Non-Edible,0.126765903,Health and Hygiene,35.7532,OUT010,Small,Tier 3,Grocery Store,4.975441874,Non-Consumable
FDD21,10.3,Regular,0.030563449,Fruits and Vegetables,114.4176,OUT035,Small,Tier 2,Supermarket Type1,7.876602331,Food
FDD44,8.05,Regular,0.078522357,Fruits and Vegetables,257.1646,OUT049,Medium,Tier 1,Supermarket Type1,8.729874265,Food
FDP16,18.6,Low Fat,0.039294854,Frozen Foods,246.6802,OUT046,Small,Tier 1,Supermarket Type1,7.902295925,Food
FDQ37,20.75,Low Fat,0.089260667,Breakfast,193.4478,OUT046,Small,Tier 1,Supermarket Type1,8.485639571,Food
NCY05,13.5,Non-Edible,0.05510153,Health and Hygiene,37.0874,OUT045,Small,Tier 2,Supermarket Type1,6.860411858,Non-Consumable
NCE07,8.18,Non-Edible,0.013127548,Household,142.0154,OUT035,Small,Tier 2,Supermarket Type1,7.594087088,Non-Consumable
DRI51,17.25,Low Fat,0.042233642,Dairy,173.3764,OUT035,Small,Tier 2,Supermarket Type1,7.63158529,Drinks
NCI31,20,Non-Edible,0.081492092,Others,35.519,OUT045,Small,Tier 2,Supermarket Type1,6.93374656,Non-Consumable
FDK60,16.5,Regular,0.094034464,Baking Goods,96.2068,OUT046,Small,Tier 1,Supermarket Type1,8.011159667,Food
FDY12,9.8,Regular,0.14061104,Baking Goods,49.8008,OUT046,Small,Tier 1,Supermarket Type1,6.697790505,Food
FDO38,17.25,Low Fat,0.072952298,Canned,76.0986,OUT049,Medium,Tier 1,Supermarket Type1,6.436452887,Food
FDP11,15.85,Low Fat,0.069087481,Breads,218.7166,OUT035,Small,Tier 2,Supermarket Type1,6.993550333,Food
FDC21,14.6,Regular,0.075215349,Fruits and Vegetables,108.4254,OUT019,Small,Tier 1,Grocery Store,5.384728063,Food
NCF54,18,Non-Edible,0.047645037,Household,172.6422,OUT017,Small,Tier 2,Supermarket Type1,7.983616514,Non-Consumable
FDC35,7.435,Low Fat,0.122242847,Starchy Foods,207.5638,OUT027,Medium,Tier 3,Supermarket Type3,8.424288907,Food
FDV43,16,Low Fat,0.076975118,Fruits and Vegetables,46.2086,OUT049,Medium,Tier 1,Supermarket Type1,6.197857792,Food
DRE12,4.59,Low Fat,0.070890602,Soft Drinks,111.686,OUT049,Medium,Tier 1,Supermarket Type1,7.368720686,Drinks
DRE27,11.85,Low Fat,0.132560174,Dairy,97.2726,OUT013,High,Tier 3,Supermarket Type1,6.66438453,Drinks
DRC36,13,Regular,0.044767032,Soft Drinks,173.7054,OUT027,Medium,Tier 3,Supermarket Type3,8.662068681,Drinks
FDZ38,17.6,Low Fat,0.007962273,Dairy,174.0422,OUT027,Medium,Tier 3,Supermarket Type3,8.551452772,Food
NCW42,18.2,Non-Edible,0.058799705,Household,220.7456,OUT017,Small,Tier 2,Supermarket Type1,8.394327461,Non-Consumable
NCZ18,7.825,Non-Edible,0.186445212,Household,255.5698,OUT045,Small,Tier 2,Supermarket Type1,7.328449697,Non-Consumable
FDL13,13.85,Regular,0.098606543,Breakfast,232.73,OUT019,Small,Tier 1,Grocery Store,6.83853381,Food
NCN18,8.895,Non-Edible,0.125222705,Household,113.3544,OUT018,Medium,Tier 3,Supermarket Type2,6.915415465,Non-Consumable
FDI41,18.5,Regular,0.062609071,Frozen Foods,148.6418,OUT017,Small,Tier 2,Supermarket Type1,7.476869584,Food
FDV22,14.85,Regular,0.009930514,Snack Foods,157.463,OUT013,High,Tier 3,Supermarket Type1,7.825807658,Food
NCB43,20.2,Non-Edible,0.099428487,Household,187.8898,OUT027,Medium,Tier 3,Supermarket Type3,8.895287404,Non-Consumable
FDQ46,7.51,Low Fat,0.103793399,Snack Foods,110.1544,OUT035,Small,Tier 2,Supermarket Type1,7.895624295,Food
FDC44,15.6,Low Fat,0.172666259,Fruits and Vegetables,111.9518,OUT049,Medium,Tier 1,Supermarket Type1,7.679798756,Food
FDB22,8.02,Low Fat,0.111419588,Snack Foods,154.3998,OUT035,Small,Tier 2,Supermarket Type1,8.12698971,Food
FDV23,11,Low Fat,0.106051405,Breads,124.4046,OUT045,Small,Tier 2,Supermarket Type1,7.715160534,Food
FDK10,5.785,Regular,0.04016342,Snack Foods,181.166,OUT027,Medium,Tier 3,Supermarket Type3,8.13638772,Food
FDF05,17.5,Low Fat,0.026925385,Frozen Foods,264.391,OUT045,Small,Tier 2,Supermarket Type1,8.568042187,Food
FDL33,7.235,Low Fat,0.099962524,Snack Foods,193.8452,OUT046,Small,Tier 1,Supermarket Type1,7.579909644,Food
FDD20,14.15,Low Fat,0.020614212,Fruits and Vegetables,126.4046,OUT027,Medium,Tier 3,Supermarket Type3,8.585729548,Food
NCM54,17.7,Non-Edible,0.050692386,Household,125.6678,OUT027,Medium,Tier 3,Supermarket Type3,8.48330055,Non-Consumable
FDW48,18,Low Fat,0.008589133,Baking Goods,81.0618,OUT017,Small,Tier 2,Supermarket Type1,7.280085714,Food
DRF36,16.1,Low Fat,0.023673342,Soft Drinks,189.0846,OUT018,Medium,Tier 3,Supermarket Type2,8.585107658,Drinks
NCM06,7.475,Non-Edible,0.075881475,Household,155.2656,OUT045,Small,Tier 2,Supermarket Type1,7.984751072,Non-Consumable
NCA54,16.5,Non-Edible,0.061330521,Household,178.7318,OUT010,Small,Tier 3,Grocery Store,5.891267345,Non-Consumable
FDT46,11.35,Low Fat,0.030869612,Snack Foods,49.8008,OUT045,Small,Tier 2,Supermarket Type1,6.56443533,Food
FDH20,16.1,Regular,0.024944396,Fruits and Vegetables,95.441,OUT035,Small,Tier 2,Supermarket Type1,7.705912264,Food
FDT38,18.7,Low Fat,0.057654132,Dairy,83.1566,OUT045,Small,Tier 2,Supermarket Type1,7.38248236,Food
NCI17,8.645,Non-Edible,0.143713508,Health and Hygiene,96.641,OUT045,Small,Tier 2,Supermarket Type1,6.768342626,Non-Consumable
FDO40,17.1,Low Fat,0.032812669,Frozen Foods,147.1392,OUT017,Small,Tier 2,Supermarket Type1,7.713377209,Food
FDP12,9.8,Regular,0.045266806,Baking Goods,36.9874,OUT046,Small,Tier 1,Supermarket Type1,6.560674167,Food
FDI44,16.1,Low Fat,0.099747488,Fruits and Vegetables,75.2328,OUT027,Medium,Tier 3,Supermarket Type3,7.343203695,Food
FDB21,7.475,Low Fat,0.148950161,Fruits and Vegetables,242.9854,OUT027,Medium,Tier 3,Supermarket Type3,8.819989151,Food
FDG16,15.25,Low Fat,0.089742065,Frozen Foods,213.7192,OUT013,High,Tier 3,Supermarket Type1,6.984342176,Food
NCZ42,10.5,Non-Edible,0.011351778,Household,236.5248,OUT017,Small,Tier 2,Supermarket Type1,8.301626265,Non-Consumable
NCJ30,5.82,Non-Edible,0.081096613,Household,170.379,OUT017,Small,Tier 2,Supermarket Type1,6.927238247,Non-Consumable
FDV49,10,Low Fat,0.025827199,Canned,263.2226,OUT046,Small,Tier 1,Supermarket Type1,8.216497853,Food
NCO43,5.5,Non-Edible,0.047202978,Others,103.1016,OUT045,Small,Tier 2,Supermarket Type1,7.613340782,Non-Consumable
NCF18,18.35,Non-Edible,0.148938624,Household,191.9504,OUT010,Small,Tier 3,Grocery Store,6.643791816,Non-Consumable
NCX41,19,Non-Edible,0.020407388,Health and Hygiene,211.0244,OUT010,Small,Tier 3,Grocery Store,7.301870082,Non-Consumable
FDY11,6.71,Regular,0.029535852,Baking Goods,67.5142,OUT013,High,Tier 3,Supermarket Type1,6.387262748,Food
FDU46,10.3,Regular,0.011143599,Snack Foods,88.254,OUT049,Medium,Tier 1,Supermarket Type1,7.026606189,Food
NCI18,18.35,Non-Edible,0.014045832,Household,222.7746,OUT049,Medium,Tier 1,Supermarket Type1,7.359863613,Non-Consumable
FDL38,13.8,Regular,0.014730322,Canned,90.9172,OUT035,Small,Tier 2,Supermarket Type1,7.669594592,Food
FDY60,10.5,Regular,0.026520107,Baking Goods,144.8128,OUT017,Small,Tier 2,Supermarket Type1,7.677026113,Food
FDF53,20.75,Regular,0.083736551,Frozen Foods,178.7318,OUT049,Medium,Tier 1,Supermarket Type1,8.140083502,Food
NCM05,6.825,Non-Edible,0.059557164,Health and Hygiene,263.7226,OUT027,Medium,Tier 3,Supermarket Type3,8.835412364,Non-Consumable
FDR13,9.895,Regular,0.028837829,Canned,117.8492,OUT018,Medium,Tier 3,Supermarket Type2,7.317902476,Food
FDA49,19.7,Low Fat,0.113669629,Canned,89.0198,OUT019,Small,Tier 1,Grocery Store,5.167294824,Food
FDY52,6.365,Low Fat,0.012865901,Frozen Foods,59.3536,OUT019,Small,Tier 1,Grocery Store,4.816299454,Food
FDL02,20,Regular,0.182236555,Canned,107.1622,OUT019,Small,Tier 1,Grocery Store,5.359997431,Food
FDO24,11.1,Low Fat,0.176069023,Baking Goods,156.7604,OUT013,High,Tier 3,Supermarket Type1,7.550937125,Food
FDM08,10.1,Regular,0.053574075,Fruits and Vegetables,223.7088,OUT035,Small,Tier 2,Supermarket Type1,7.895624295,Food
FDJ02,17.2,Regular,0.044063785,Canned,147.2418,OUT019,Small,Tier 1,Grocery Store,5.68793625,Food
FDW40,14,Regular,0.105573769,Frozen Foods,143.9812,OUT018,Medium,Tier 3,Supermarket Type2,7.039528527,Food
FDT46,11.35,Low Fat,0.030657949,Snack Foods,50.5008,OUT027,Medium,Tier 3,Supermarket Type3,6.920687299,Food
FDY08,9.395,Regular,0.172042892,Fruits and Vegetables,139.9838,OUT017,Small,Tier 2,Supermarket Type1,7.584657827,Food
FDM21,20.2,Low Fat,0.064052392,Snack Foods,256.1646,OUT027,Medium,Tier 3,Supermarket Type3,8.919088388,Food
FDH26,19.25,Regular,0.034531702,Canned,142.2496,OUT027,Medium,Tier 3,Supermarket Type3,7.783450324,Food
NCM42,6.13,Non-Edible,0.028365524,Household,110.0912,OUT049,Medium,Tier 1,Supermarket Type1,7.401761039,Non-Consumable
FDW13,8.5,Low Fat,0.097866209,Canned,51.1324,OUT035,Small,Tier 2,Supermarket Type1,7.208779745,Food
FDN04,11.8,Regular,0.01401884,Frozen Foods,178.1344,OUT027,Medium,Tier 3,Supermarket Type3,8.2290103,Food
NCD07,9.1,Non-Edible,0.055448768,Household,114.4518,OUT046,Small,Tier 1,Supermarket Type1,7.374582118,Non-Consumable
FDB34,15.25,Low Fat,0.044539371,Snack Foods,85.3198,OUT010,Small,Tier 3,Grocery Store,5.570858136,Food
FDD09,13.5,Low Fat,0.021526135,Fruits and Vegetables,179.9976,OUT013,High,Tier 3,Supermarket Type1,8.495077472,Food
DRH59,10.8,Low Fat,0.078119533,Hard Drinks,72.338,OUT049,Medium,Tier 1,Supermarket Type1,6.692850198,Drinks
DRN36,15.2,Low Fat,0.050168354,Soft Drinks,95.3752,OUT035,Small,Tier 2,Supermarket Type1,7.271792654,Drinks
DRA24,19.35,Regular,0.040154087,Soft Drinks,164.6868,OUT017,Small,Tier 2,Supermarket Type1,7.045347565,Drinks
FDY36,12.3,Low Fat,0.009364957,Baking Goods,74.238,OUT027,Medium,Tier 3,Supermarket Type3,7.067156152,Food
FDG34,11.5,Regular,0.037539164,Snack Foods,106.9254,OUT013,High,Tier 3,Supermarket Type1,8.01951779,Food
FDK43,9.8,Low Fat,0.026992588,Meat,127.302,OUT017,Small,Tier 2,Supermarket Type1,7.731068947,Food
NCM06,7.475,Non-Edible,0.076156245,Household,156.4656,OUT017,Small,Tier 2,Supermarket Type1,7.605418646,Non-Consumable
FDK22,9.8,Low Fat,0.026192765,Snack Foods,215.685,OUT018,Medium,Tier 3,Supermarket Type2,6.477210796,Food
FDF21,10.3,Regular,0.058542509,Fruits and Vegetables,188.353,OUT027,Medium,Tier 3,Supermarket Type3,8.381446547,Food
FDO33,14.75,Low Fat,0.089686322,Snack Foods,115.3518,OUT018,Medium,Tier 3,Supermarket Type2,7.508035134,Food
NCO43,5.5,Non-Edible,0.047364617,Others,100.0016,OUT017,Small,Tier 2,Supermarket Type1,6.56443533,Non-Consumable
FDX15,17.2,Low Fat,0.156269303,Meat,159.6578,OUT035,Small,Tier 2,Supermarket Type1,8.022797914,Food
FDS10,19.2,Low Fat,0.035185588,Snack Foods,181.3318,OUT046,Small,Tier 1,Supermarket Type1,7.275486951,Food
FDD46,6.035,Low Fat,0.247321039,Snack Foods,152.3998,OUT019,Small,Tier 1,Grocery Store,5.042132669,Food
FDV22,14.85,Regular,0.009979271,Snack Foods,155.763,OUT018,Medium,Tier 3,Supermarket Type2,8.048871347,Food
NCR29,7.565,Non-Edible,0.054863459,Health and Hygiene,58.393,OUT018,Medium,Tier 3,Supermarket Type2,6.235071292,Non-Consumable
FDU34,18.25,Low Fat,0.075620262,Snack Foods,123.8046,OUT017,Small,Tier 2,Supermarket Type1,8.156833983,Food
FDZ35,9.6,Regular,0.02236923,Breads,104.799,OUT018,Medium,Tier 3,Supermarket Type2,7.202353629,Food
FDA26,7.855,Regular,0.073906461,Dairy,218.4482,OUT035,Small,Tier 2,Supermarket Type1,8.480541738,Food
FDP38,10.1,Low Fat,0.032283676,Canned,52.2008,OUT017,Small,Tier 2,Supermarket Type1,6.633334223,Food
FDT22,10.395,Low Fat,0.11207602,Snack Foods,58.022,OUT035,Small,Tier 2,Supermarket Type1,6.492454963,Food
FDA50,16.25,Low Fat,0.087668236,Dairy,94.941,OUT017,Small,Tier 2,Supermarket Type1,7.460914842,Food
FDY10,17.6,Low Fat,0.049067877,Snack Foods,115.6176,OUT046,Small,Tier 1,Supermarket Type1,7.832167819,Food
FDC09,15.5,Regular,0.026355345,Fruits and Vegetables,100.8332,OUT045,Small,Tier 2,Supermarket Type1,7.338886834,Food
FDT19,7.59,Regular,0.145631695,Fruits and Vegetables,172.808,OUT018,Medium,Tier 3,Supermarket Type2,7.719309301,Food
FDO34,17.7,Low Fat,0.029793955,Snack Foods,167.2816,OUT027,Medium,Tier 3,Supermarket Type3,8.649198941,Food
NCV54,11.1,Non-Edible,0.033160417,Household,119.6124,OUT049,Medium,Tier 1,Supermarket Type1,7.719900579,Non-Consumable
FDH57,10.895,Low Fat,0.035574413,Fruits and Vegetables,131.4284,OUT027,Medium,Tier 3,Supermarket Type3,8.595258142,Food
FDA28,16.1,Regular,0.047801883,Frozen Foods,127.4362,OUT046,Small,Tier 1,Supermarket Type1,7.725794213,Food
FDB05,5.155,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,Small,Tier 1,Supermarket Type1,6.899431129,Food
FDK45,11.65,Low Fat,0.059281315,Seafood,111.586,OUT019,Small,Tier 1,Grocery Store,5.830585449,Food
DRH01,17.5,Low Fat,0.171417316,Soft Drinks,173.0738,OUT019,Small,Tier 1,Grocery Store,5.853774806,Drinks
FDY52,6.365,Low Fat,0.007348286,Frozen Foods,62.8536,OUT046,Small,Tier 1,Supermarket Type1,6.681227006,Food
FDR48,11.65,Low Fat,0.146350166,Baking Goods,152.6024,OUT035,Small,Tier 2,Supermarket Type1,5.719015199,Food
FDY15,18.25,Regular,0.170795745,Dairy,154.463,OUT035,Small,Tier 2,Supermarket Type1,7.692333306,Food
FDM51,11.8,Regular,0.025966531,Meat,102.2674,OUT049,Medium,Tier 1,Supermarket Type1,7.802134743,Food
FDR43,18.2,Low Fat,0.161489509,Fruits and Vegetables,37.619,OUT046,Small,Tier 1,Supermarket Type1,5.905879425,Food
FDW09,13.65,Regular,0.025899245,Snack Foods,81.1302,OUT013,High,Tier 3,Supermarket Type1,6.676203981,Food
FDV44,8.365,Regular,0.039906377,Fruits and Vegetables,191.3188,OUT049,Medium,Tier 1,Supermarket Type1,7.447033773,Food
DRH37,17.6,Low Fat,0.072864869,Soft Drinks,165.2526,OUT019,Small,Tier 1,Grocery Store,6.713275712,Drinks
FDZ47,20.7,Regular,0.079419755,Baking Goods,99.8042,OUT049,Medium,Tier 1,Supermarket Type1,7.305902342,Food
NCP43,17.75,Non-Edible,0.03050705,Others,180.366,OUT046,Small,Tier 1,Supermarket Type1,7.757033178,Non-Consumable
FDL26,18,Low Fat,0.073490977,Canned,157.3972,OUT018,Medium,Tier 3,Supermarket Type2,6.659275971,Food
DRM35,9.695,Low Fat,0.070843019,Hard Drinks,177.7344,OUT017,Small,Tier 2,Supermarket Type1,7.38206811,Drinks
FDM39,6.42,Low Fat,0.053688479,Dairy,178.3002,OUT018,Medium,Tier 3,Supermarket Type2,7.753324188,Food
DRD15,10.6,Low Fat,0.056911107,Dairy,233.9642,OUT045,Small,Tier 2,Supermarket Type1,8.221163629,Drinks
NCK06,5.03,Non-Edible,0.014472516,Household,122.0756,OUT010,Small,Tier 3,Grocery Store,4.805459354,Non-Consumable
